Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
27	9.543392418764788e-05	3.3502234754997565e-05	6188879.530842075	312.5	0.23839007489640351	1.1910645990993607e-05
28	7.268342361450674e-05	5.115468140980781e-06	6190487.194339628	625.0	0.07276460578051404	1.2546913757677111e-05
29	6.739464287565444e-05	6.8902857247451715e-06	6193227.553611918	1250.0	0.20876206771675165	1.4036242173503059e-05
30	5.332519766713871e-05	7.93877648177834e-06	6197724.7962254165	625.0	0.0285006366295019	6.959342685925382e-06
31	5.180539555673059e-05	1.1048611857980058e-05	6200001.939130887	1250.0	0.1942350678688291	8.550557345030675e-06
32	4.1742970840562416e-05	1.461662735245577e-05	6202732.752867118	312.5	0.0641100743310886	4.752790618025096e-06
33	3.906682581306342e-05	1.3402048025201252e-05	6203844.417296143	625.0	0.06745607600077595	5.124621527426108e-06
34	3.643153097445226e-05	1.5652717353185458e-05	6205325.470457665	1250.0	0.16994648212911725	3.83428352124759e-06
35	3.0240120276819647e-05	1.8632959620752467e-05	6207532.750044051	2500.0	0.10518097464206357	4.002463655144623e-06
36	2.7059434847629553e-05	2.8115866800554213e-05	6212166.977777959	625.0	0.1962649769057562	4.8943052261801715e-06
37	2.1748615295911748e-05	1.92781952688428e-05	6211018.668025729	1250.0	0.12618024320410626	3.7452502248262775e-06
38	1.9004369602340815e-05	2.1272149651499687e-05	6213448.476921554	625.0	0.14028878103127085	3.5737217437858835e-06
39	1.6338269616271903e-05	1.2039313499531427e-05	6212502.63705394	1250.0	0.27067639659999276	3.277576632242622e-06
40	1.1915885399183881e-05	1.1087791444270784e-05	6214884.807286233	625.0	0.028371264827676528	2.475517657281563e-06
41	1.1577816630496127e-05	5.2432680937836804e-06	6214685.933184092	1250.0	0.32259952102292355	2.831817135954862e-06
42	7.842818208407317e-06	4.470616015826714e-06	6217104.867320543	312.5	0.047003569468957625	1.4805692294238044e-06
43	7.474177710912468e-06	2.5046222119502447e-06	6217339.235139723	625.0	0.04608288727741774	1.4826902182033043e-06
44	7.1297459758862134e-06	1.3536716524326413e-06	6218216.957402686	1250.0	0.24225398412042534	8.134272810666975e-07
45	5.402536365207224e-06	1.052123455059545e-06	6220474.158480941	2500.0	0.12212388522476239	9.104733996054338e-07
46	4.742757512096167e-06	9.200575860995473e-07	6224845.526040831	625.0	0.2457137550468394	1.1841164890258523e-06
47	3.5773965088086567e-06	1.9825759435499518e-06	6226480.982288298	1250.0	0.022560233774161102	6.352822601667974e-07
48	3.496689584706832e-06	1.1563166270007563e-06	6229089.857754803	625.0	0.1374584996779403	5.755725896670386e-07
49	3.016039743095051e-06	1.6701141412163066e-06	6230602.686016045	1250.0	0.06483029517388507	2.522958591149739e-07
50	2.820508931463735e-06	1.0052868839722095e-06	6233097.253124345	1250.0	0.0022662171727210133	2.275241804285367e-07
51	2.814117043421222e-06	1.8936694198451033e-06	6235753.331654823	625.0	0.17480085269119033	2.312776444125076e-07
52	2.322206809857528e-06	7.312281963446475e-07	6236667.772022146	1250.0	0.0475855718278806	2.0293523604714923e-07
53	2.2117032233222874e-06	1.1447497356536273e-06	6239028.971583861	625.0	0.13066010652256213	2.97131776504875e-07
54	1.922721713906597e-06	4.978518537770206e-07	6239911.375209606	1250.0	0.07450868197345252	1.809148770548438e-07
55	1.7794621786929967e-06	7.247915273148791e-07	6242031.620442499	625.0	0.09439854885525797	2.0007326214642475e-07
56	1.6114834368830132e-06	3.472653226183734e-07	6242885.122738213	1250.0	0.08581481307300004	1.498425042482494e-07
57	1.4731942011618487e-06	5.030039690422568e-07	6244833.894877949	625.0	0.06804443885612169	1.3550357277324577e-07
58	1.3729514603732594e-06	2.6458733955869065e-07	6245661.719291808	1250.0	0.08807034534091276	1.198161246104942e-07
59	1.2520350630515306e-06	3.8562596864069056e-07	6247484.234706875	625.0	0.051054365967527965	9.502701515929795e-08
60	1.1881131556839548e-06	2.2256047857641255e-07	6248285.664021737	1250.0	0.08657114632523452	9.58982363707009e-08
61	1.0852567512611567e-06	3.1841615816866295e-07	6250004.225409818	1250.0	0.0033801524585002633	5.681554948213525e-08
62	1.0815884146051248e-06	1.6130182163061395e-07	6251545.121261581	625.0	0.1185833864650293	7.826109220914477e-08
63	9.533298790565205e-07	2.7393231094538e-07	6252391.401388448	1250.0	0.012797467962300834	4.8042364528944704e-08
64	9.411296576743226e-07	1.457853861019735e-07	6253864.818843134	625.0	0.10246555285758106	7.896407669354019e-08
65	8.446961845245043e-07	2.400359419162276e-07	6254654.04941425	1250.0	0.019414813650887718	4.1677777653663004e-08
66	8.282965460955315e-07	1.343950390446101e-07	6256053.141743472	1250.0	0.0190125765418532	4.286039402445386e-08
