Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
0	0.5206608907069812	19451.889083584305	25136255.12131203	0.1	0.2120945632998008	0.11042934424199458
1	0.4102315464649866	741.7948686693744	18686097.311902333	0.2	0.01767361049985648	0.0588398084044941
2	0.402981273897993	193.59520014691583	18162213.878847614	0.2	0.008188934277895315	0.04032653465872319
3	0.3996812867308116	122.58067766460047	18233170.05728469	0.2	0.004558426679140911	0.004124059191588887
4	0.39785936889021994	181.4960528677922	18386651.87162546	0.1	0.00639385521312616	0.002555253402549751
5	0.39531551369034373	5.054127237181353	18484037.773191743	0.2	0.008019339973596447	0.0025119808471985583
6	0.3921453441892159	10.362053700785749	18777300.09531573	0.2	0.007731313398642314	0.002915274418252345
7	0.3891135456354629	14.327283066311441	19069883.727089036	0.2	0.007444091348009686	0.003032854944448863
8	0.38621694885699714	29.476297199000413	19361096.725437872	0.2	0.006757239247923625	0.0028460518857517845
9	0.3836071885319606	50.157228760526756	19639471.01736019	0.2	0.0056547033440125325	0.0025585139850956375
10	0.381438003680176	101.02721066549623	19894866.722484697	0.2	0.0032560994966142724	0.0020069817561989924
11	0.38019600358840017	188.48390208304508	20091619.229579993	0.1	0.006101704628168208	0.0019103428860909692
12	0.37787615987368767	9.137456508647007	20193866.98363609	0.2	0.007636870173330357	0.002149211660349315
13	0.37499036869912805	15.430737288162069	20509072.40779559	0.2	0.007282443503761151	0.002645493687928454
14	0.3722595225246148	32.05856640354501	20820441.355060104	0.2	0.0064636889820041555	0.0026742690410892687
15	0.36985335275041986	62.24939641009745	21114915.412669867	0.2	0.00484850415535378	0.002310083822131659
16	0.3680601172327331	131.84964372914558	21371774.848979834	0.2	0.0012913719615546472	0.0015582359358146298
