Iteration	objective_values	objectives_main	objectives_meshquality	volumes	variance radii
0	0.09314036138135824	0.09314036138135824	633264.174377693	6.281444382833818	0.11785703094246713
1	0.06742521230558432	0.0674252123055843	2210567.113432853	6.535465249486616	0.004021283915377573
2	0.06418421294602195	0.06418421294602195	1319148.561041707	6.524957344204952	0.0037214655558648916
3	0.05025227624932591	0.050252276249325906	1205491.447584863	6.526825652098447	0.003460012780459524
4	0.04187922878283419	0.04187922878283419	1623814.6244377217	6.532410141002934	0.0032087318547027017
5	0.03847958937258106	0.03847958937258105	1240532.574251594	6.530637453145174	0.004610350127892465
6	0.03414677660190924	0.03414677660190923	1224039.5152539571	6.554333267406622	0.003198750654205522
7	0.02961269629706883	0.029612696297068822	1235488.82855158	6.556766161257487	0.004976596792346274
8	0.02938357830999352	0.029383578309993514	1235502.1232237774	6.556756380431746	0.004973643371541966
