Iteration	objective_values	shape_gradient_norms_squared	alphas
0	0.014439123080978646	8.277585163954878e-06	10000.0
1	0.0022072643226690976	1.509125033759628e-07	1250.0
2	0.0021027810767668903	6.135279399866778e-07	2500.0
3	0.0006191129879344334	2.0588216834895904e-07	2500.0
4	0.0003061061316836671	5.976121942257202e-08	625.0
5	0.00028027908348907414	3.3513429891093005e-08	5000.0
6	0.0002753251506842888	8.994667302549766e-09	2500.0
7	0.00019896962674544538	3.546407630999711e-08	4.8828125
8	0.00019373708521880576	3.2506004235676324e-08	9.5367431640625
