Iteration	objective_values	shape_gradient_norms_squared	meshquality	alphas	rel_changes	abs_changes
58	1.3729514385652664e-06	2.645873419565668e-07	6245661.71409261	1250.0	0.08807034872268124	1.198161237788177e-07
59	1.2520350385211678e-06	3.856259385583974e-07	6247484.229479249	625.0	0.05105436207001438	9.502701038863892e-08
60	1.1881131372858016e-06	2.2256048103968728e-07	6248285.658797972	1250.0	0.0865711483770657	9.589823551577445e-08
61	1.085256732017943e-06	3.184161350765398e-07	6250004.22016018	1250.0	0.003380176047835738	5.6815556231573436e-08
62	1.0815883698264475e-06	1.6130181789154407e-07	6251545.116016217	625.0	0.11858336446680469	7.826109130163512e-08
63	9.533298633808963e-07	2.739322928697429e-07	6252391.396119823	1250.0	0.012797487502168633	4.804236948219849e-08
64	9.411296235713476e-07	1.4578538590276025e-07	6253864.813575353	625.0	0.1024655343367852	7.896406616001663e-08
65	8.446961713463976e-07	2.4003592734464057e-07	6254654.044126711	1250.0	0.01941483033557719	4.167778143371031e-08
66	8.282965190797654e-07	1.343950403747677e-07	6256053.136455514	1250.0	0.019012608634365973	4.286040035155404e-08
67	8.125484225166855e-07	4.0906406475606644e-07	6257523.134053928	625.0	0.09440361853168498	3.628511818370608e-08
68	7.358408167952794e-07	1.2372650428969367e-07	6258103.258727685	1250.0	0.030140538825365604	3.821145704431055e-08
69	7.136621479468337e-07	3.408996734991973e-07	6259477.977706604	625.0	0.07920604541135273	5.180423675817921e-08
70	6.571357122421478e-07	1.1321083721322917e-07	6260031.404499308	1250.0	0.037326569486058885	3.441125456815945e-08
71	6.32607053090801e-07	2.888035586008642e-07	6261317.931095204	625.0	0.06831664343004597	4.142425121667084e-08
72	5.893893942968212e-07	1.0294091469760008e-07	6261843.843551929	1250.0	0.041985503985992705	3.083072356479389e-08
73	5.646435415477662e-07	2.481359723799204e-07	6263049.933646271	625.0	0.060316796819424756	3.400702054358957e-08
74	5.305859914600323e-07	9.315333265298238e-08	6263548.526430678	1250.0	0.04498477699552124	2.755724677478098e-08
75	5.067176539724782e-07	2.1570346800568715e-07	6264681.103188524	625.0	0.05429145536636991	2.8478793586913927e-08
76	4.792071607870244e-07	8.39998050733571e-08	6265153.124971927	1250.0	0.046864483002491825	2.461222445962227e-08
77	4.5674931808116553e-07	1.892938429678683e-07	6266218.3002322065	625.0	0.049647697600288726	2.4214979187414035e-08
