Iteration	objective_values	shape_gradient_norms_squared	alphas	rel_changes
0	0.13299866314055425	372.90036185240353	1.0	0.0
1	0.06636141141627927	178.73971656929035	0.5	0.5010370040588382
2	0.014083936993567003	6.133148475080202	1.0	0.7877691764871081
3	0.008943461336047372	3.065715696752164	0.5	0.36498854400602704
4	0.0077739194537624024	0.3223014544655922	1.0	0.1307706086278097
5	0.007678725681745198	0.3097806394312875	0.5	0.012245273773564496
6	0.007541629320716908	0.03262718535779601	1.0	0.01785405113980795
7	0.0075092545938436495	0.026398885906388996	1.0	0.004292802721029019
